"IDNUMBER";"AGEYEARS";"DAYSSINCEBD";"AGEDAYS";"SEX";"BCOUNTRY";"BREGION";"DCOUNTRY";"DREGION";"BDATE";"DDATE";"VALIDATION";"VALIDATIONTYPE";"VALIDATIONYEAR";"SOURCE1";"SOURCE2";"SOURCE3";"BCERTIF";"DCERTIF";"CENSUS";"CENSUSYEAR";"PROOFS";"NOTE";"UPDATE"
BEL1190903091DSSC813;105;297;38648;F;FRA;.;BEL;.;09/03/1909;31/12/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190903151DSSC815;105;256;38607;F;BEL;.;BEL;.;15/03/1909;26/11/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190903161DSSC816;105;269;38620;F;BEL;.;BEL;.;16/03/1909;10/12/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190903241DSSC817;105;47;38398;F;FRA;.;BEL;.;24/03/1909;10/05/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190904051DSSC818;105;309;38660;F;BEL;.;BEL;.;05/04/1909;08/02/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190904061DSSC819;105;6;38357;F;BEL;.;BEL;.;06/04/1909;12/04/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190904241DSSC820;105;300;38651;F;BEL;.;BEL;.;24/04/1909;18/02/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190905041DSSC821;105;279;38630;F;BEL;.;BEL;.;04/05/1909;07/02/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190905151DSSC824;105;234;38585;F;BEL;.;BEL;.;15/05/1909;04/01/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190905191DSSC825;105;179;38530;F;BEL;.;BEL;.;19/05/1909;14/11/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190906181DSSC829;105;275;38626;F;BEL;.;BEL;.;18/06/1909;20/03/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190906241DSSC830;106;30;38746;F;BEL;.;BEL;.;24/06/1909;24/07/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190906261DSSC831;105;163;38514;F;BEL;.;BEL;.;26/06/1909;06/12/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190906291DSSC832;105;52;38403;F;BEL;.;BEL;.;29/06/1909;20/08/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190907061DSSC834;105;116;38467;F;BEL;.;BEL;.;06/07/1909;30/10/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190907061DSSC835;105;46;38397;F;BEL;.;BEL;.;06/07/1909;21/08/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190907071DSSC836;105;229;38580;F;BEL;.;BEL;.;07/07/1909;21/02/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190907261DSSC839;105;162;38513;F;BEL;.;BEL;.;26/07/1909;04/01/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190908261DSSC846;105;46;38397;F;BEL;.;BEL;.;26/08/1909;11/10/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190909141DSSC851;105;63;38414;F;BEL;.;BEL;.;14/09/1909;16/11/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190910201DSSC855;105;111;38462;F;BEL;.;BEL;.;20/10/1909;08/02/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190911251DSSC859;105;61;38412;F;BEL;.;BEL;.;25/11/1909;25/01/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190912131DSSC862;105;20;38371;F;BEL;.;BEL;.;13/12/1909;02/01/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1191001011DSSC863;105;40;38391;F;BEL;.;BEL;.;01/01/1910;10/02/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
